0.730667 (0.038947) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.715094 (0.036869) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.761852 (0.026191) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.730254 (0.019965) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.727737 (0.019310) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.795715 (0.025087) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.795595 (0.024983) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.793232 (0.036961) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.775384 (0.039180) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.792487 (0.024509) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.792064 (0.015044) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.793142 (0.030151) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.806720 (0.024819) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.793339 (0.026923) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.803416 (0.026952) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.796850 (0.025889) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.785550 (0.020305) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.794000 (0.015003) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.789194 (0.040301) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.798362 (0.027784) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.791354 (0.026181) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.744616 (0.043182) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.756619 (0.036280) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.756136 (0.014141) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.690985 (0.078153) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.703332 (0.023797) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.731366 (0.021117) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.727764 (0.016062) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.744962 (0.028168) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.748468 (0.030465) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.738890 (0.008434) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.744274 (0.010043) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.740825 (0.022306) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.710186 (0.036014) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.752424 (0.031442) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
