0.939834 (0.009011) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.939699 (0.008683) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.939153 (0.004614) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.941873 (0.008406) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.938448 (0.002945) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.943307 (0.018915) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.939477 (0.011993) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.942242 (0.009403) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.932411 (0.008596) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.942038 (0.009363) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.941031 (0.010751) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.942519 (0.009196) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.943385 (0.016738) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.939358 (0.015442) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.944148 (0.015356) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.942876 (0.010309) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.943970 (0.006970) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.945686 (0.014569) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.944133 (0.013150) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.944309 (0.009991) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.945443 (0.003497) with: {'batch_size': 32, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.947607 (0.008308) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.930971 (0.027654) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.939937 (0.018571) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.951184 (0.006421) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.948342 (0.003007) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.942551 (0.011659) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
